date,type,milliongdp
2000,pscbd,-19767
2000,psnb,-15938
2001,pscbd,-11275
2001,psnb,-1439
2002,pscbd,13690
2002,psnb,25715
2003,pscbd,25564
2003,psnb,44726
2004,pscbd,23757
2004,psnb,46231
2005,pscbd,20457
2005,psnb,46715
2006,pscbd,18145
2006,psnb,42623
2007,pscbd,17551
2007,psnb,41627
2008,pscbd,47666
2008,psnb,88820
2009,pscbd,111143
2009,psnb,159802
2010,pscbd,105549
2010,psnb,146238
2011,pscbd,87967
2011,psnb,121506
2012,pscbd,94188
2012,psnb,131614
2013,pscbd,80298
2013,psnb,106035
2014,pscbd,69330
2014,psnb,103061
2015,pscbd,51037
2015,psnb,85284
2016,pscbd,31941
2016,psnb,66983
2017,pscbd,8048
2017,psnb,51188
2018,pscbd,6661
2018,psnb,49515
2019,pscbd,3775
2019,psnb,47297
2020,pscbd,207629
2020,psnb,272879
