Date,PSCBDMillionGDP,PSNBMillionGDP,NetDebtMillionGDP,GDPMillionGDP,GDP_yearMillionGDP
2000 Q1,-15204,-11675,338700,405110,1632591
2000 Q2,-2960,-3587,327300,407731,1632591
2000 Q3,-4500,-4444,311700,409290,1632591
2000 Q4,2897,3768,318300,410460,1632591
2001 Q1,-15228,-11605,307000,413970,1666429
2001 Q2,168,1441,315100,415874,1666429
2001 Q3,-3272,-1167,308800,417821,1666429
2001 Q4,7057,9892,319500,418764,1666429
2002 Q1,-9649,-4759,313900,420979,1701811
2002 Q2,9355,10261,322400,423711,1701811
2002 Q3,3585,6203,325800,426683,1701811
2002 Q4,10399,14010,350400,430438,1701811
2003 Q1,-4582,3575,348000,432853,1753374
2003 Q2,11632,14517,353600,436157,1753374
2003 Q3,7918,11824,360900,440440,1753374
2003 Q4,10596,14810,380900,443924,1753374
2004 Q1,-8190,511,381400,445908,1794677
2004 Q2,12768,16594,407300,448330,1794677
2004 Q3,8405,12900,413400,449436,1794677
2004 Q4,10774,16226,438200,451003,1794677
2005 Q1,-8008,3310,435700,453744,1841218
2005 Q2,11032,14083,449800,458115,1841218
2005 Q3,6004,11040,459700,462156,1841218
2005 Q4,11429,18282,479900,467203,1841218
2006 Q1,-9973,718,474400,469679,1888797
2006 Q2,10288,14091,495100,471304,1888797
2006 Q3,7073,11884,499300,472400,1888797
2006 Q4,10757,15930,513600,475414,1888797
2007 Q1,-14148,-2103,509500,479140,1931663
2007 Q2,12052,13549,526100,481362,1931663
2007 Q3,7139,11936,527300,484647,1931663
2007 Q4,12508,18245,548800,486514,1931663
2008 Q1,-13638,1236,543600,489449,1927034
2008 Q2,18234,22330,576000,487244,1927034
2008 Q3,15547,25984,651900,479983,1927034
2008 Q4,27523,39270,720900,470358,1927034
2009 Q1,9392,29671,755600,461881,1845186
2009 Q2,36392,41956,816900,460431,1845186
2009 Q3,29132,37986,845000,460722,1845186
2009 Q4,36227,50189,924600,462152,1845186
2010 Q1,10436,27658,995400,465380,1884515
2010 Q2,30060,35582,1036300,470655,1884515
2010 Q3,27761,36829,1074300,473954,1884515
2010 Q4,37292,46169,1120000,474526,1884515
2011 Q1,5654,21267,1138700,476720,1911983
2011 Q2,28349,32908,1173900,477202,1911983
2011 Q3,22417,28939,1191600,478726,1911983
2011 Q4,31547,38392,1224200,479335,1911983
2012 Q1,7780,21297,1235100,482583,1940087
2012 Q2,32057,45352,1264600,482299,1940087
2012 Q3,21547,26255,1283500,488205,1940087
2012 Q4,32804,38710,1329500,487000,1940087
2013 Q1,4645,14554,1341300,489236,1976755
2013 Q2,26988,31213,1374500,492451,1976755
2013 Q3,20155,25554,1392600,496229,1976755
2013 Q4,28510,34714,1430300,498839,1976755
2014 Q1,637,13533,1441100,503492,2035883
2014 Q2,26665,31893,1476200,507551,2035883
2014 Q3,18188,25229,1492200,510988,2035883
2014 Q4,23840,32406,1529300,513852,2035883
2015 Q1,-7642,6938,1531900,517165,2089276
2015 Q2,21481,28078,1555900,520984,2089276
2015 Q3,16001,23171,1562000,523783,2089276
2015 Q4,21197,27097,1583300,527344,2089276
2016 Q1,-9750,2265,1574800,529673,2136566
2016 Q2,18146,25553,1595900,532731,2136566
2016 Q3,10295,19158,1601000,535103,2136566
2016 Q4,13250,20007,1665600,539059,2136566
2017 Q1,-23461,-8614,1692300,542562,2182170
2017 Q2,17580,26753,1726600,544248,2182170
2017 Q3,5224,15027,1747400,546579,2182170
2017 Q4,8705,18022,1725300,548781,2182170
2018 Q1,-19435,-4715,1736200,550080,2218196
2018 Q2,11465,20120,1754800,553087,2218196
2018 Q3,4113,13658,1754500,556581,2218196
2018 Q4,10518,20452,1773300,558448,2218196
2019 Q1,-28488,-11031,1754600,562033,2255283
2019 Q2,15441,23058,1778700,562779,2255283
2019 Q3,2052,12223,1781000,565362,2255283
2019 Q4,14770,23047,1805900,565109,2255283
2020 Q1,-19219,-3277,1793100,550205,2043373
2020 Q2,112488,133495,1976100,443193,2043373
2020 Q3,61357,77211,2043900,521073,2043373
2020 Q4,53003,65450,2132100,528902,2043373
2021 Q1,23277,45729,2134400,522221,2172320
2021 Q2,51477,62496,2204700,550588,2172320
2021 Q3,31103,43679,2207700,556431,2172320
