realtime_start,realtime_end,date,WFRBST01108_value,WFRBSB50189_value
06/11/2021,06/11/2021,01/07/1989,20.9,7.3
06/11/2021,06/11/2021,01/10/1989,21,7.2
06/11/2021,06/11/2021,01/01/1990,20.8,7.3
06/11/2021,06/11/2021,01/04/1990,21,7.3
06/11/2021,06/11/2021,01/07/1990,20.5,7.5
06/11/2021,06/11/2021,01/10/1990,20.8,7.5
06/11/2021,06/11/2021,01/01/1991,21.1,7.5
06/11/2021,06/11/2021,01/04/1991,21,7.6
06/11/2021,06/11/2021,01/07/1991,21.2,7.7
06/11/2021,06/11/2021,01/10/1991,21.6,7.8
06/11/2021,06/11/2021,01/01/1992,21.5,7.7
06/11/2021,06/11/2021,01/04/1992,21.4,7.7
06/11/2021,06/11/2021,01/07/1992,21.3,7.9
06/11/2021,06/11/2021,01/10/1992,21.7,7.9
06/11/2021,06/11/2021,01/01/1993,22.4,7.7
06/11/2021,06/11/2021,01/04/1993,22.5,7.8
06/11/2021,06/11/2021,01/07/1993,22.7,8
06/11/2021,06/11/2021,01/10/1993,23,8
06/11/2021,06/11/2021,01/01/1994,23.3,7.9
06/11/2021,06/11/2021,01/04/1994,23.6,8
06/11/2021,06/11/2021,01/07/1994,23.8,8.2
06/11/2021,06/11/2021,01/10/1994,24.1,8.2
06/11/2021,06/11/2021,01/01/1995,24.5,8.2
06/11/2021,06/11/2021,01/04/1995,24.6,8.5
06/11/2021,06/11/2021,01/07/1995,24.9,8.7
06/11/2021,06/11/2021,01/10/1995,25.1,8.5
06/11/2021,06/11/2021,01/01/1996,25,8.4
06/11/2021,06/11/2021,01/04/1996,25,8.3
06/11/2021,06/11/2021,01/07/1996,24.8,8.3
06/11/2021,06/11/2021,01/10/1996,25,8.1
06/11/2021,06/11/2021,01/01/1997,24.7,8.1
06/11/2021,06/11/2021,01/04/1997,25.1,7.9
06/11/2021,06/11/2021,01/07/1997,25.1,7.9
06/11/2021,06/11/2021,01/10/1997,25.1,7.7
06/11/2021,06/11/2021,01/01/1998,25.4,7.6
06/11/2021,06/11/2021,01/04/1998,25.4,7.5
06/11/2021,06/11/2021,01/07/1998,24.7,7.7
06/11/2021,06/11/2021,01/10/1998,25,7.4
06/11/2021,06/11/2021,01/01/1999,24.7,7.5
06/11/2021,06/11/2021,01/04/1999,25,7.4
06/11/2021,06/11/2021,01/07/1999,24.6,7.6
06/11/2021,06/11/2021,01/10/1999,25.2,7.3
06/11/2021,06/11/2021,01/01/2000,25.4,7.3
06/11/2021,06/11/2021,01/04/2000,25,7.3
06/11/2021,06/11/2021,01/07/2000,24.6,7.4
06/11/2021,06/11/2021,01/10/2000,24,7.5
06/11/2021,06/11/2021,01/01/2001,23.5,7.4
06/11/2021,06/11/2021,01/04/2001,23.5,7.3
06/11/2021,06/11/2021,01/07/2001,22.7,7.5
06/11/2021,06/11/2021,01/10/2001,22.9,7.3
06/11/2021,06/11/2021,01/01/2002,23,7.2
06/11/2021,06/11/2021,01/04/2002,22.9,7.2
06/11/2021,06/11/2021,01/07/2002,22.3,7.5
06/11/2021,06/11/2021,01/10/2002,21.9,7.5
06/11/2021,06/11/2021,01/01/2003,21.8,7.4
06/11/2021,06/11/2021,01/04/2003,22.5,7.2
06/11/2021,06/11/2021,01/07/2003,22.7,7.2
06/11/2021,06/11/2021,01/10/2003,23.2,7.2
06/11/2021,06/11/2021,01/01/2004,23.9,6.9
06/11/2021,06/11/2021,01/04/2004,23.7,7
06/11/2021,06/11/2021,01/07/2004,23.9,7
06/11/2021,06/11/2021,01/10/2004,24.1,7
06/11/2021,06/11/2021,01/01/2005,24.2,7
06/11/2021,06/11/2021,01/04/2005,24.3,7.1
06/11/2021,06/11/2021,01/07/2005,24.4,7.2
06/11/2021,06/11/2021,01/10/2005,24.4,7.3
06/11/2021,06/11/2021,01/01/2006,24.9,7.3
06/11/2021,06/11/2021,01/04/2006,24.8,7.4
06/11/2021,06/11/2021,01/07/2006,24.8,7.5
06/11/2021,06/11/2021,01/10/2006,24.9,7.6
06/11/2021,06/11/2021,01/01/2007,25.2,7.6
06/11/2021,06/11/2021,01/04/2007,25.1,7.6
06/11/2021,06/11/2021,01/07/2007,25.2,7.6
06/11/2021,06/11/2021,01/10/2007,24.9,7.6
06/11/2021,06/11/2021,01/01/2008,24.6,7.7
06/11/2021,06/11/2021,01/04/2008,24.5,7.7
06/11/2021,06/11/2021,01/07/2008,24,7.7
06/11/2021,06/11/2021,01/10/2008,22.8,7.9
06/11/2021,06/11/2021,01/01/2009,22.6,8.1
06/11/2021,06/11/2021,01/04/2009,22.9,7.9
06/11/2021,06/11/2021,01/07/2009,23.7,7.6
06/11/2021,06/11/2021,01/10/2009,23.3,7.6
06/11/2021,06/11/2021,01/01/2010,23.9,7.3
06/11/2021,06/11/2021,01/04/2010,23.8,7.2
06/11/2021,06/11/2021,01/07/2010,24.2,7.1
06/11/2021,06/11/2021,01/10/2010,24.3,7
06/11/2021,06/11/2021,01/01/2011,24.9,6.8
06/11/2021,06/11/2021,01/04/2011,25,6.6
06/11/2021,06/11/2021,01/07/2011,24.7,6.8
06/11/2021,06/11/2021,01/10/2011,24.6,6.8
06/11/2021,06/11/2021,01/01/2012,25.2,6.5
06/11/2021,06/11/2021,01/04/2012,25.3,6.5
06/11/2021,06/11/2021,01/07/2012,25.5,6.4
06/11/2021,06/11/2021,01/10/2012,25.6,6.4
06/11/2021,06/11/2021,01/01/2013,26,6.2
06/11/2021,06/11/2021,01/04/2013,26.1,6.1
06/11/2021,06/11/2021,01/07/2013,26.1,6.1
06/11/2021,06/11/2021,01/10/2013,26.1,5.9
06/11/2021,06/11/2021,01/01/2014,26.6,5.8
06/11/2021,06/11/2021,01/04/2014,26.8,5.8
06/11/2021,06/11/2021,01/07/2014,26.9,5.7
06/11/2021,06/11/2021,01/10/2014,27,5.6
06/11/2021,06/11/2021,01/01/2015,27.3,5.5
06/11/2021,06/11/2021,01/04/2015,27.4,5.5
06/11/2021,06/11/2021,01/07/2015,27.2,5.6
06/11/2021,06/11/2021,01/10/2015,27.2,5.6
06/11/2021,06/11/2021,01/01/2016,27.5,5.5
06/11/2021,06/11/2021,01/04/2016,27.7,5.4
06/11/2021,06/11/2021,01/07/2016,27.6,5.5
06/11/2021,06/11/2021,01/10/2016,27.3,5.5
06/11/2021,06/11/2021,01/01/2017,27.5,5.4
06/11/2021,06/11/2021,01/04/2017,27.5,5.5
06/11/2021,06/11/2021,01/07/2017,27.5,5.5
06/11/2021,06/11/2021,01/10/2017,27.6,5.4
06/11/2021,06/11/2021,01/01/2018,27.6,5.4
06/11/2021,06/11/2021,01/04/2018,27.6,5.5
06/11/2021,06/11/2021,01/07/2018,27.7,5.5
06/11/2021,06/11/2021,01/10/2018,26.9,5.6
06/11/2021,06/11/2021,01/01/2019,27.5,5.4
06/11/2021,06/11/2021,01/04/2019,27.5,5.4
06/11/2021,06/11/2021,01/07/2019,27.3,5.6
06/11/2021,06/11/2021,01/10/2019,27.6,5.5
06/11/2021,06/11/2021,01/01/2020,26.5,5.8
06/11/2021,06/11/2021,01/04/2020,27.3,5.5
06/11/2021,06/11/2021,01/07/2020,27.7,5.5
06/11/2021,06/11/2021,01/10/2020,28.5,5.4
06/11/2021,06/11/2021,01/01/2021,28.9,5.3
06/11/2021,06/11/2021,01/04/2021,29.2,5.6
